Sl_No,Age,Education_Level,Years_of_Experience,Salary
1,32,Bachelor's,5,90000
2,28,Master's,3,65000
3,45,PhD,15,150000
4,36,Bachelor's,7,60000
5,52,Master's,20,200000
6,29,Bachelor's,2,55000
7,42,Master's,12,120000
8,31,Bachelor's,4,80000
9,26,Bachelor's,1,45000
10,38,PhD,10,110000
11,29,Master's,3,75000
12,48,Bachelor's,18,140000
13,35,Bachelor's,6,65000
14,40,Master's,14,130000
15,27,Bachelor's,2,40000
16,44,Bachelor's,16,125000
17,33,Master's,7,90000
18,39,PhD,12,115000
19,25,Bachelor's,0,35000
20,51,Bachelor's,22,180000
21,34,Master's,5,80000
22,47,Master's,19,190000
23,30,Bachelor's,2,50000
24,36,Bachelor's,9,60000
25,41,Master's,13,140000
26,28,Bachelor's,3,45000
27,37,Master's,11,110000
28,24,Bachelor's,1,40000
29,43,PhD,15,140000
30,33,Master's,6,90000
31,50,Bachelor's,25,250000
32,31,Bachelor's,4,55000
33,29,Master's,3,75000
34,39,Bachelor's,10,65000
35,46,PhD,20,170000
36,27,Bachelor's,2,45000
37,35,Bachelor's,7,60000
38,42,Master's,14,115000
39,26,Bachelor's,1,40000
40,49,Bachelor's,21,160000
41,34,Master's,5,80000
42,48,Master's,18,190000
43,30,Bachelor's,3,60000
44,36,Bachelor's,8,45000
45,41,Master's,13,130000
46,28,Bachelor's,2,40000
47,32,Bachelor's,5,75000
48,45,Master's,16,180000
49,38,PhD,11,120000
50,25,Bachelor's,0,35000
51,51,Bachelor's,22,130000
52,33,Master's,7,85000
53,40,Bachelor's,12,60000
54,47,Master's,19,200000
55,29,Bachelor's,3,50000
56,36,Bachelor's,9,95000
57,27,Master's,2,65000
58,43,PhD,17,140000
59,30,Bachelor's,4,55000
60,35,Master's,7,105000
61,51,Master's,23,170000
62,29,Bachelor's,3,50000
63,40,Bachelor's,12,80000
64,47,PhD,21,180000
65,26,Bachelor's,1,35000
66,38,Master's,10,90000
67,46,Bachelor's,19,120000
68,31,Bachelor's,5,45000
69,34,Master's,8,90000
70,49,Master's,18,150000
71,33,Bachelor's,6,65000
72,39,Bachelor's,11,70000
73,45,PhD,16,190000
74,28,Bachelor's,2,40000
75,42,Master's,14,120000
76,37,Bachelor's,10,95000
77,50,Bachelor's,22,160000
78,32,Master's,6,100000
79,48,Master's,20,180000
80,30,Bachelor's,3,55000
81,36,Bachelor's,8,70000
82,41,Master's,13,80000
83,25,Bachelor's,0,30000
84,52,PhD,24,250000
85,29,Bachelor's,2,40000
86,34,Master's,10,95000
87,27,Bachelor's,2,45000
88,40,Bachelor's,15,80000
89,46,Master's,21,135000
90,31,Bachelor's,6,55000
91,36,PhD,11,120000
92,29,Bachelor's,3,40000
93,43,Bachelor's,18,105000
94,52,Master's,25,170000
95,33,Bachelor's,7,75000
96,39,Bachelor's,12,65000
97,47,PhD,22,160000
98,26,Bachelor's,1,35000
99,38,Master's,10,90000
100,45,Bachelor's,20,110000
101,31,Bachelor's,5,45000
102,35,Master's,8,95000
103,49,Master's,19,150000
